"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2022 02:00 - 03/01/2022 02:15","Germany (DE)","42688.00","46537.41"
"03/01/2022 02:15 - 03/01/2022 02:30","Germany (DE)","42441.23","46602.27"
"03/01/2022 02:30 - 03/01/2022 02:45","Germany (DE)","42603.58","46492.90"
"03/01/2022 02:45 - 03/01/2022 03:00","Germany (DE)","42550.53","46505.40"
"03/01/2022 03:00 - 03/01/2022 03:15","Germany (DE)","42946.92","46619.89"
"03/01/2022 03:15 - 03/01/2022 03:30","Germany (DE)","42843.37","46756.61"
"03/01/2022 03:30 - 03/01/2022 03:45","Germany (DE)","43103.69","47019.38"
"03/01/2022 03:45 - 03/01/2022 04:00","Germany (DE)","43520.54","47238.76"
"03/01/2022 04:00 - 03/01/2022 04:15","Germany (DE)","43868.62","47841.76"
"03/01/2022 04:15 - 03/01/2022 04:30","Germany (DE)","44089.12","48101.07"
"03/01/2022 04:30 - 03/01/2022 04:45","Germany (DE)","44623.58","48382.99"
"03/01/2022 04:45 - 03/01/2022 05:00","Germany (DE)","45701.78","48979.29"
"03/01/2022 05:00 - 03/01/2022 05:15","Germany (DE)","47215.52","49997.05"
"03/01/2022 05:15 - 03/01/2022 05:30","Germany (DE)","47836.57","50376.21"
"03/01/2022 05:30 - 03/01/2022 05:45","Germany (DE)","48437.26","51503.60"
"03/01/2022 05:45 - 03/01/2022 06:00","Germany (DE)","49965.46","52748.06"
"03/01/2022 06:00 - 03/01/2022 06:15","Germany (DE)","52834.97","54484.28"
"03/01/2022 06:15 - 03/01/2022 06:30","Germany (DE)","54523.39","55925.57"
"03/01/2022 06:30 - 03/01/2022 06:45","Germany (DE)","56364.65","57277.16"
"03/01/2022 06:45 - 03/01/2022 07:00","Germany (DE)","57932.18","58554.75"
"03/01/2022 07:00 - 03/01/2022 07:15","Germany (DE)","59789.31","60198.40"
"03/01/2022 07:15 - 03/01/2022 07:30","Germany (DE)","61047.92","60908.72"
"03/01/2022 07:30 - 03/01/2022 07:45","Germany (DE)","62124.65","61638.26"
"03/01/2022 07:45 - 03/01/2022 08:00","Germany (DE)","63407.65","62330.81"
"03/01/2022 08:00 - 03/01/2022 08:15","Germany (DE)","64312.83","63346.76"
"03/01/2022 08:15 - 03/01/2022 08:30","Germany (DE)","64907.07","63622.09"
"03/01/2022 08:30 - 03/01/2022 08:45","Germany (DE)","65318.89","63928.14"
"03/01/2022 08:45 - 03/01/2022 09:00","Germany (DE)","65743.50","64371.29"
"03/01/2022 09:00 - 03/01/2022 09:15","Germany (DE)","66111.40","64284.53"
"03/01/2022 09:15 - 03/01/2022 09:30","Germany (DE)","66257.77","65003.88"
"03/01/2022 09:30 - 03/01/2022 09:45","Germany (DE)","66640.34","65453.21"
"03/01/2022 09:45 - 03/01/2022 10:00","Germany (DE)","66916.98","65423.63"
"03/01/2022 10:00 - 03/01/2022 10:15","Germany (DE)","67374.22","65097.35"
"03/01/2022 10:15 - 03/01/2022 10:30","Germany (DE)","67930.45","65079.01"
"03/01/2022 10:30 - 03/01/2022 10:45","Germany (DE)","68169.32","65428.55"
"03/01/2022 10:45 - 03/01/2022 11:00","Germany (DE)","68185.79","65809.87"
"03/01/2022 11:00 - 03/01/2022 11:15","Germany (DE)","68692.13","66326.25"
"03/01/2022 11:15 - 03/01/2022 11:30","Germany (DE)","69438.26","66765.76"
"03/01/2022 11:30 - 03/01/2022 11:45","Germany (DE)","69846.48","67129.96"
"03/01/2022 11:45 - 03/01/2022 12:00","Germany (DE)","70021.58","67078.35"
"03/01/2022 12:00 - 03/01/2022 12:15","Germany (DE)","70236.42","67197.07"
"03/01/2022 12:15 - 03/01/2022 12:30","Germany (DE)","70152.92","67181.51"
"03/01/2022 12:30 - 03/01/2022 12:45","Germany (DE)","70148.50","67048.21"
"03/01/2022 12:45 - 03/01/2022 13:00","Germany (DE)","69975.87","67250.59"
"03/01/2022 13:00 - 03/01/2022 13:15","Germany (DE)","70045.17","66973.20"
"03/01/2022 13:15 - 03/01/2022 13:30","Germany (DE)","69530.43","66561.47"
"03/01/2022 13:30 - 03/01/2022 13:45","Germany (DE)","69081.49","66138.23"
"03/01/2022 13:45 - 03/01/2022 14:00","Germany (DE)","68635.83","65678.47"
"03/01/2022 14:00 - 03/01/2022 14:15","Germany (DE)","68347.07","65408.76"
"03/01/2022 14:15 - 03/01/2022 14:30","Germany (DE)","68335.15","65327.15"
"03/01/2022 14:30 - 03/01/2022 14:45","Germany (DE)","68236.93","65029.49"
"03/01/2022 14:45 - 03/01/2022 15:00","Germany (DE)","68272.08","64561.34"
"03/01/2022 15:00 - 03/01/2022 15:15","Germany (DE)","67952.74","64591.56"
"03/01/2022 15:15 - 03/01/2022 15:30","Germany (DE)","67504.54","64391.26"
"03/01/2022 15:30 - 03/01/2022 15:45","Germany (DE)","67095.85","64032.91"
"03/01/2022 15:45 - 03/01/2022 16:00","Germany (DE)","66840.96","64069.69"
"03/01/2022 16:00 - 03/01/2022 16:15","Germany (DE)","67310.84","64454.77"
"03/01/2022 16:15 - 03/01/2022 16:30","Germany (DE)","67545.53","64799.02"
"03/01/2022 16:30 - 03/01/2022 16:45","Germany (DE)","68271.54","65373.05"
"03/01/2022 16:45 - 03/01/2022 17:00","Germany (DE)","69005.68","66084.07"
"03/01/2022 17:00 - 03/01/2022 17:15","Germany (DE)","69749.92","66872.83"
"03/01/2022 17:15 - 03/01/2022 17:30","Germany (DE)","70321.84","67154.99"
"03/01/2022 17:30 - 03/01/2022 17:45","Germany (DE)","70633.68","67287.31"
"03/01/2022 17:45 - 03/01/2022 18:00","Germany (DE)","70938.56","67263.78"
"03/01/2022 18:00 - 03/01/2022 18:15","Germany (DE)","70557.20","67236.73"
"03/01/2022 18:15 - 03/01/2022 18:30","Germany (DE)","70374.15","67123.75"
"03/01/2022 18:30 - 03/01/2022 18:45","Germany (DE)","70142.45","66968.42"
"03/01/2022 18:45 - 03/01/2022 19:00","Germany (DE)","69571.31","67001.16"
