"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"08/01/2015 04:00 - 08/01/2015 05:00","Italy (IT)","23350.00","23032.00"
"08/01/2015 05:00 - 08/01/2015 06:00","Italy (IT)","24947.00","24655.00"
"08/01/2015 06:00 - 08/01/2015 07:00","Italy (IT)","30185.00","29976.00"
"08/01/2015 07:00 - 08/01/2015 08:00","Italy (IT)","37189.00","37461.00"
"08/01/2015 08:00 - 08/01/2015 09:00","Italy (IT)","41485.00","42106.00"
"08/01/2015 09:00 - 08/01/2015 10:00","Italy (IT)","43419.00","43811.00"
"08/01/2015 10:00 - 08/01/2015 11:00","Italy (IT)","43305.00","44129.00"
"08/01/2015 11:00 - 08/01/2015 12:00","Italy (IT)","42733.00","43813.00"
"08/01/2015 12:00 - 08/01/2015 13:00","Italy (IT)","40289.00","41418.00"
"08/01/2015 13:00 - 08/01/2015 14:00","Italy (IT)","40382.00","40705.00"
"08/01/2015 14:00 - 08/01/2015 15:00","Italy (IT)","41135.00","40877.00"
"08/01/2015 15:00 - 08/01/2015 16:00","Italy (IT)","41376.00","41168.00"
"08/01/2015 16:00 - 08/01/2015 17:00","Italy (IT)","42484.00","43206.00"
"08/01/2015 17:00 - 08/01/2015 18:00","Italy (IT)","45179.00","46101.00"
"08/01/2015 18:00 - 08/01/2015 19:00","Italy (IT)","44598.00","45408.00"
"08/01/2015 19:00 - 08/01/2015 20:00","Italy (IT)","43351.00","43739.00"
"08/01/2015 20:00 - 08/01/2015 21:00","Italy (IT)","40504.00","40618.00"
"08/01/2015 21:00 - 08/01/2015 22:00","Italy (IT)","37331.00","37440.00"
"08/01/2015 22:00 - 08/01/2015 23:00","Italy (IT)","33141.00","33298.00"
"08/01/2015 23:00 - 09/01/2015 00:00","Italy (IT)","29623.00","29519.00"
"09/01/2015 00:00 - 09/01/2015 01:00","Italy (IT)","26860.00","26114.00"
"09/01/2015 01:00 - 09/01/2015 02:00","Italy (IT)","24819.00","24208.00"
"09/01/2015 02:00 - 09/01/2015 03:00","Italy (IT)","23929.00","23376.00"
"09/01/2015 03:00 - 09/01/2015 04:00","Italy (IT)","23655.00","23095.00"
"09/01/2015 04:00 - 09/01/2015 05:00","Italy (IT)","23961.00","23347.00"
"09/01/2015 05:00 - 09/01/2015 06:00","Italy (IT)","25460.00","24991.00"
"09/01/2015 06:00 - 09/01/2015 07:00","Italy (IT)","30439.00","30665.00"
"09/01/2015 07:00 - 09/01/2015 08:00","Italy (IT)","37184.00","37500.00"
"09/01/2015 08:00 - 09/01/2015 09:00","Italy (IT)","42011.00","41717.00"
"09/01/2015 09:00 - 09/01/2015 10:00","Italy (IT)","44018.00","43542.00"
"09/01/2015 10:00 - 09/01/2015 11:00","Italy (IT)","43678.00","43451.00"
"09/01/2015 11:00 - 09/01/2015 12:00","Italy (IT)","43370.00","42596.00"
"09/01/2015 12:00 - 09/01/2015 13:00","Italy (IT)","41118.00","40065.00"
"09/01/2015 13:00 - 09/01/2015 14:00","Italy (IT)","40543.00","39805.00"
"09/01/2015 14:00 - 09/01/2015 15:00","Italy (IT)","40940.00","40331.00"
"09/01/2015 15:00 - 09/01/2015 16:00","Italy (IT)","41104.00","40436.00"
"09/01/2015 16:00 - 09/01/2015 17:00","Italy (IT)","41750.00","42083.00"
"09/01/2015 17:00 - 09/01/2015 18:00","Italy (IT)","44604.00","45310.00"
"09/01/2015 18:00 - 09/01/2015 19:00","Italy (IT)","44285.00","45382.00"
"09/01/2015 19:00 - 09/01/2015 20:00","Italy (IT)","42845.00","44193.00"
"09/01/2015 20:00 - 09/01/2015 21:00","Italy (IT)","40047.00","41351.00"
"09/01/2015 21:00 - 09/01/2015 22:00","Italy (IT)","36687.00","37896.00"
"09/01/2015 22:00 - 09/01/2015 23:00","Italy (IT)","32807.00","34227.00"
"09/01/2015 23:00 - 10/01/2015 00:00","Italy (IT)","29442.00","30832.00"
"10/01/2015 00:00 - 10/01/2015 01:00","Italy (IT)","26362.00","26596.00"
"10/01/2015 01:00 - 10/01/2015 02:00","Italy (IT)","24554.00","24660.00"
"10/01/2015 02:00 - 10/01/2015 03:00","Italy (IT)","23620.00","23548.00"
"10/01/2015 03:00 - 10/01/2015 04:00","Italy (IT)","22979.00","22959.00"
